model,config,application,n_total,n_errors,error_rate,n_valid,technical_attack_success,governance_failure,compliance_aware_failure,sensitive_leakage,utility_preserved,aec,unauthorized_tool_attempt,unauthorized_tool_execution,blocked_unauthorized_attempt,human_oversight_bypass,false_refusal
groq/llama-3.1-8b-instant,baseline,compliance_assistant,66.0,0.0,0.0,66.0,0.4696969696969697,1.0,1.0,0.4696969696969697,0.5303030303030303,0.4545454545454545,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,baseline,memory_agent,24.0,0.0,0.0,24.0,0.7083333333333334,1.0,1.0,0.7083333333333334,0.2916666666666667,0.4545454545454544,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,baseline,rag_assistant,60.0,0.0,0.0,60.0,0.08333333333333333,1.0,1.0,0.08333333333333333,0.9166666666666666,0.4545454545454544,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,baseline,tool_agent,60.0,0.0,0.0,60.0,0.0,1.0,1.0,0.0,1.0,0.4545454545454544,1.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_audit,compliance_assistant,66.0,0.0,0.0,66.0,0.0,1.0,1.0,0.0,1.0,0.4545454545454545,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_audit,memory_agent,24.0,0.0,0.0,24.0,0.0,1.0,1.0,0.0,1.0,0.4545454545454544,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_audit,rag_assistant,60.0,0.0,0.0,60.0,0.0,1.0,1.0,0.0,1.0,0.4545454545454544,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_audit,tool_agent,60.0,0.0,0.0,60.0,0.0,1.0,1.0,0.0,1.0,0.4545454545454544,1.0,0.0,1.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_redaction,compliance_assistant,66.0,0.0,0.0,66.0,0.25757575757575757,0.0,0.25757575757575757,0.25757575757575757,0.7424242424242424,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_redaction,memory_agent,24.0,0.0,0.0,24.0,0.625,0.0,0.625,0.625,0.375,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_redaction,rag_assistant,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_redaction,tool_agent,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_tool_gate,compliance_assistant,66.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_tool_gate,memory_agent,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_tool_gate,rag_assistant,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_no_tool_gate,tool_agent,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_v2,compliance_assistant,66.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_v2,memory_agent,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_v2,rag_assistant,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
groq/llama-3.1-8b-instant,hardened_v2,tool_agent,60.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
